link_id,interval_nVehContrib
119271337,1865.0
119271346,3476.0
119271357,1239.0
123555214,414.0
123592887#0,2929.0
123592887#1-AddedOffRampEdge,3514.0
123867439#1-AddedOnRampEdge,5098.0
123867446#1,4082.0
123867452,3227.0
123867453#0,854.0
123867454,3625.0
124952169,1557.0
156778691,2237.0
157593042,2363.0
157607513#1,6185.0
157782133,4770.0
157782136#0,3858.0
157806285,3462.0
158623068#0,755.0
172165117,2695.0
184867222#0,1420.0
184867243,1865.0
22372547,1152.0
22372559,2187.0
23798287,6147.0
23798288#1,5280.0
23807652#1,4544.0
23955194#0,2094.0
23955194#2,1683.0
24167679#1,5703.0
25657136,2246.0
26230999#1,1597.0
27829301#1,2467.0
28317586#1,2032.0
28317945,3822.0
28319413#2,875.0
28319423#0,441.0
28319423#1-AddedOffRampEdge,1090.0
28319423#2,827.0
28357482,728.0
28357727#0,1632.0
28358874#1,6825.0
28358875#1,2578.0
28359059#1,5543.0
28378888#1-AddedOnRampEdge,3429.0
28396115#1,1952.0
28414204#0,3681.0
28433582,4857.0
28433597,1343.0
28433666#1,4504.0
28433994#1,1689.0
28434077,3259.0
28435047,1274.0
28435048,1359.0
28435573,2407.0
28437104,3193.0
28437207,1962.0
28464126#1,4331.0
28464668#1,2783.0
28464671-AddedOnRampEdge,2014.0
28665770#0,1864.0
301865758,3236.0
301865760,3365.0
30583337,1863.0
30959001,987.0
363634378,3746.0
363648766#1-AddedOnRampEdge,2351.0
367132265,776.0
394385111,3633.0
394385113,6165.0
394385114#1,3931.0
394449801#0,4867.0
394449801#1,5979.0
395336990,1864.0
395337004,4902.0
395343763,0.0
395354964#0,5996.0
395362577,3029.0
395368981#0,3366.0
395368986,2957.0
395394468,2747.0
395394473,6148.0
395439802,3153.0
395439805,2327.0
42397233,2189.0
479773092#0,5169.0
479773098,2647.0
479773099,1426.0
5018717,2868.0
5018720,2199.0
508060359,1719.0
508060361,1972.0
508115737#0,4267.0
508115737#1,4302.0
508115745,4916.0
508115808,3820.0
508137802,3532.0
508479313#0,2739.0
508479317,3390.0
508479326,3324.0
508479336,3070.0
508479355,3944.0
508479365#0,3240.0
508479370#0,2682.0
509747240,2807.0
509747302,5109.0
509747310-AddedOnRampEdge,5182.0
509747346,4723.0
509747348,2414.0
509747381,2489.0
509747406-AddedOffRampEdge,6196.0
517168464,782.0
52286756#1,5921.0
52324493,2116.0
544296216-AddedOffRampEdge,2977.0
544296218#0,4985.0
544296218#1-AddedOnRampEdge,5399.0
544296218#2,6726.0
544296221,3248.0
550271868,739.0
550284581,4335.0
550284584-AddedOffRampEdge,4373.0
550284598,2727.0
550284602,2762.0
550284604,1436.0
552389451,2523.0
552603210,3296.0
56159747,2672.0
60759806,3316.0
617235585#0,6180.0
617235594,2211.0
617235603,2960.0
617235606,2505.0
617235612,992.0
617259141,3662.0
617259170,1660.0
617259178,2671.0
617284141,4112.0
617284143,3321.0
617284144#0,1037.0
617284164,3774.0
617284166,2954.0
617284173,3807.0
617335302,4591.0
619042916,3778.0
619042921,6186.0
619042924,5090.0
687721970,4257.0
687721973,3570.0
687721986,1959.0
699542380#1,1592.0
711834658,4328.0
727202049,4903.0
838046085,1588.0
848429238,2492.0
848488831,3504.0
848489711,667.0
848489712,1130.0
848501101#0,742.0
848745539#1,2258.0
848748038,1102.0
848748039,1285.0
848754158,713.0
848767838,1962.0
848809833,3584.0
848818561,3748.0
848875024#0,2979.0
848880058,3654.0
848920992#0,4260.0
849677308#0,2923.0
849677308#1,3318.0
849806971#0,3478.0
849818316,2502.0
849821064,615.0
849833093,2979.0
850026981,2302.0
850032296,5107.0
850057340#0,3379.0
850097346,1428.0
850098170,3761.0
850134421,1155.0
850376107,3774.0
850378488,944.0
850395062,5787.0
850615423,1736.0
850746591,2847.0
850760258,1864.0
851520670,1670.0
851520671-AddedOffRampEdge,1863.0
851541351,971.0
851544880,1076.0
851550873,2603.0
851552197,2697.0
851553864,3270.0
851555734,4303.0
851560451,3267.0
851568240,5538.0
851569274,836.0
854162451,1506.0
854215625,4374.0
860646752-AddedOffRampEdge,3627.0
861059531,2559.0
863751890,6341.0
863754537,5282.0
867203204,1776.0
867204830-AddedOffRampEdge,2127.0
867208766,4630.0
867246178,5108.0
867247243,2834.0
867251845#0,859.0
867256162#3,2095.0
867259033,1844.0
867262165#0,682.0
8954447,2088.0
95265016#1,1065.0
