link_id,interval_nVehContrib,interval_harmonicMeanSpeed
157607513#1,5736.0,37.4917
172165117,4404.0,13.625
28414204#0,4645.0,44.5417
301865758,3768.0,49.8083
301865760,4192.0,60.5458
30959001,2346.0,65.4458
395439802,4585.0,42.3
395439805,4370.0,57.1167
508479313#0,3860.0,38.8667
508479317,4790.0,41.8167
508479336,3627.0,26.4667
508479355,4592.0,47.325
508479365#0,3711.0,62.4167
508479370#0,3316.0,60.7583
508479370#1,3487.0,62.0083
509721010#0-AddedOnRampEdge,6011.0,34.9333
687721970,4020.0,31.85
850376107,4589.0,49.6167
850378488,2299.0,67.05
850395062,4366.0,30.3417
850746591,3115.0,53.3292
851553864,4404.0,25.6917
851555734,4920.0,47.8333
851560451,4726.0,42.8583
851568240,5711.0,48.2667
867203204,2855.0,69.8667
