link_id,interval_nVehContrib
119271337,2036.0
119271346,3575.0
119271357,1323.0
123555214,433.0
123592887#0,2206.0
123592887#1-AddedOffRampEdge,3962.0
123867439#1-AddedOnRampEdge,5292.0
123867446#1,4210.0
123867452,3707.0
123867453#0,894.0
123867454,3948.0
124952169,1640.0
156778691,2220.0
157593042,2733.0
157607513#1,6221.0
157782133,4852.0
157782136#0,4069.0
157806285,3700.0
158623068#0,878.0
172165117,2930.0
184867222#0,1532.0
184867243,2036.0
22372547,829.0
22372559,2540.0
23798287,6371.0
23798288#1,5503.0
23807652#1,4578.0
23955194#0,2664.0
23955194#2,2094.0
24167679#1,5927.0
25657136,2330.0
26230999#1,1680.0
27829301#1,2583.0
28317586#1,2080.0
28317945,4245.0
28319413#2,986.0
28319423#0,1308.0
28319423#1-AddedOffRampEdge,1689.0
28319423#2,935.0
28357386,4984.0
28357482,772.0
28357727#0,1737.0
28358874#1,7203.0
28358875#1,2664.0
28359059#1,6110.0
28378888#1-AddedOnRampEdge,3942.0
28396115#1,2487.0
28414204#0,3801.0
28433582,5009.0
28433597,1431.0
28433666#1,4489.0
28433994#1,1818.0
28434077,3393.0
28435047,1345.0
28435048,1443.0
28435573,2526.0
28437104,3329.0
28437207,1995.0
28464126#1,4557.0
28464671-AddedOnRampEdge,2320.0
28665770#0,2035.0
301865758,3333.0
301865760,3534.0
30583337,2036.0
30959001,607.0
363634378,3883.0
363648766#1-AddedOnRampEdge,2656.0
367132265,851.0
394385111,3836.0
394385113,6254.0
394385114#1,3906.0
394449801#0,4908.0
394449801#1,6104.0
395336990,2035.0
395337004,5111.0
395343763,486.0
395354964#0,6214.0
395362577,3189.0
395368981#0,3391.0
395368986,3167.0
395394468,3081.0
395394473,6383.0
395439802,3294.0
395439805,2561.0
42397233,2648.0
479773092#0,5334.0
479773098,2828.0
479773099,1543.0
5018717,2993.0
5018720,2517.0
508060359,1835.0
508060361,2254.0
508115737#0,4908.0
508115745,5093.0
508115808,3858.0
508137802,3713.0
508479313#0,2835.0
508479317,3604.0
508479326,3564.0
508479336,3112.0
508479355,3843.0
508479365#0,3298.0
508479370#0,2822.0
509747240,6199.0
509747302,5288.0
509747310-AddedOnRampEdge,5332.0
509747346,4939.0
509747348,2555.0
509747381,2730.0
509747406-AddedOffRampEdge,6995.0
517168464,870.0
52286756#1,6111.0
52324493,2296.0
544296216-AddedOffRampEdge,3196.0
544296218#1-AddedOnRampEdge,5444.0
544296218#2,6802.0
544296221,3413.0
550271868,785.0
550284581,4568.0
550284584-AddedOffRampEdge,4603.0
550284598,3104.0
550284602,3134.0
550284604,1509.0
552389451,3146.0
552603210,3512.0
56159747,2986.0
60759806,3780.0
617235585#0,6477.0
617235594,2324.0
617235603,3240.0
617235606,2629.0
617235612,1050.0
617259141,3742.0
617259170,2040.0
617259178,2925.0
617284141,4522.0
617284143,3347.0
617284144#0,1042.0
617284164,4341.0
617284166,3491.0
617284173,4401.0
617335302,5181.0
619042916,3819.0
619042921,6434.0
619042924,5050.0
687721970,4158.0
687721986,2116.0
699542380#1,1736.0
711834658,4180.0
727202049,5112.0
838046085,1731.0
848429238,2930.0
848488831,3812.0
848489711,728.0
848489712,1169.0
848501101#0,812.0
848745539#1,2494.0
848748038,1194.0
848748039,1364.0
848754158,777.0
848767838,2126.0
848809833,4053.0
848818561,4278.0
848875024#0,3198.0
848880058,4281.0
848920992#0,4495.0
849677308#0,3143.0
849677308#1,3592.0
849696784,4525.0
849806971#0,3484.0
849818316,2696.0
849821064,649.0
849833093,3198.0
850026981,2586.0
850032296,5637.0
850057340#0,3683.0
850097346,1611.0
850098170,4127.0
850134421,1277.0
850376107,3860.0
850378488,1049.0
850395062,5611.0
850615423,2213.0
850746591,1109.0
850760258,2035.0
851520670,1736.0
851520671-AddedOffRampEdge,2036.0
851541351,1032.0
851544880,1119.0
851550873,2714.0
851552197,2789.0
851553864,3633.0
851555734,4498.0
851560451,3470.0
851568240,5500.0
851569274,1059.0
854162451,1545.0
854215625,4855.0
860646752-AddedOffRampEdge,3810.0
861059531,2767.0
863751890,6405.0
863754537,5233.0
867203204,1890.0
867204830-AddedOffRampEdge,2306.0
867208766,4734.0
867246178,5480.0
867247243,3025.0
867251845#0,912.0
867256162#0,4358.0
867256162#3,3406.0
867256163,5885.0
867259033,2875.0
867262165#0,766.0
8954447,2051.0
95265016#1,1078.0
