link_id,interval_nVehContrib,interval_harmonicMeanSpeed
119271337,2036.0,66.475
119271346,3575.0,69.275
119271357,1323.0,66.7417
123555214,433.0,67.0958
123592887#0,2206.0,59.9417
123592887#1-AddedOffRampEdge,3962.0,55.35
123867439#1-AddedOnRampEdge,5292.0,63.4583
123867446#1,4210.0,63.3167
123867452,3707.0,63.1792
123867453#0,894.0,67.5
123867454,3948.0,61.05
124952169,1640.0,66.2472
156778691,2220.0,61.6625
157593042,2733.0,62.95
157607513#1,6221.0,52.4667
157782133,4852.0,58.9417
157782136#0,4069.0,66.5917
157806285,3700.0,69.2167
158623068#0,878.0,67.7667
172165117,2930.0,63.8083
184867222#0,1532.0,66.2125
184867243,2036.0,66.475
22372547,829.0,66.9917
22372559,2540.0,65.1583
23798287,6371.0,60.8167
23798288#1,5503.0,64.1083
23807652#1,4578.0,62.2083
23955194#0,2664.0,66.3333
23955194#2,2094.0,67.2333
24167679#1,5927.0,58.3333
25657136,2330.0,68.35
26230999#1,1680.0,59.2583
27829301#1,2583.0,67.4917
28317586#1,2080.0,64.8
28317945,4245.0,66.9167
28319413#2,986.0,66.5833
28319423#0,1308.0,64.7042
28319423#1-AddedOffRampEdge,1689.0,64.0417
28319423#2,935.0,67.2667
28357386,4984.0,65.9417
28357482,772.0,67.4083
28357727#0,1737.0,64.9542
28358874#1,7203.0,61.7667
28358875#1,2664.0,61.725
28359059#1,6110.0,64.4
28378888#1-AddedOnRampEdge,3942.0,62.7167
28396115#1,2487.0,67.0
28414204#0,3801.0,59.7917
28433582,5009.0,50.4583
28433597,1431.0,64.7833
28433666#1,4489.0,49.825
28433994#1,1818.0,63.5667
28434077,3393.0,61.525
28435047,1345.0,66.5708
28435048,1443.0,63.8917
28435573,2526.0,64.05
28437104,3329.0,66.0958
28437207,1995.0,64.7583
28464126#1,4557.0,61.2583
28464671-AddedOnRampEdge,2320.0,61.6667
28665770#0,2035.0,66.35
301865758,3333.0,57.4333
301865760,3534.0,59.9
30583337,2036.0,66.3083
30959001,607.0,64.5375
363634378,3883.0,63.35
363648766#1-AddedOnRampEdge,2656.0,59.4667
367132265,851.0,67.9917
394385111,3836.0,61.2833
394385113,6254.0,58.3417
394385114#1,3906.0,63.675
394449801#0,4908.0,58.7
394449801#1,6104.0,54.6292
395336990,2035.0,66.35
395337004,5111.0,61.2667
395343763,486.0,67.0417
395354964#0,6214.0,60.0667
395362577,3189.0,62.1083
395368981#0,3391.0,67.6042
395368986,3167.0,71.5667
395394468,3081.0,61.5528
395394473,6383.0,52.85
395439802,3294.0,64.4
395439805,2561.0,63.5667
42397233,2648.0,66.1167
479773092#0,5334.0,60.35
479773098,2828.0,63.675
479773099,1543.0,68.325
5018717,2993.0,41.8583
5018720,2517.0,41.7667
508060359,1835.0,66.0917
508060361,2254.0,63.4167
508115737#0,4908.0,65.325
508115745,5093.0,62.5056
508115808,3858.0,63.05
508137802,3713.0,52.7667
508479313#0,2835.0,59.6167
508479317,3604.0,67.7583
508479326,3564.0,64.1917
508479336,3112.0,61.3417
508479355,3843.0,59.8417
508479365#0,3298.0,66.9917
508479370#0,2822.0,65.225
509747240,6199.0,57.9042
509747302,5288.0,58.1417
509747310-AddedOnRampEdge,5332.0,60.45
509747346,4939.0,57.3833
509747348,2555.0,67.1667
509747381,2730.0,66.925
509747406-AddedOffRampEdge,6995.0,62.4417
517168464,870.0,66.8083
52286756#1,6111.0,63.0583
52324493,2296.0,62.7208
544296216-AddedOffRampEdge,3196.0,66.875
544296218#1-AddedOnRampEdge,5444.0,39.7417
544296218#2,6802.0,40.7417
544296221,3413.0,65.5417
550271868,785.0,67.9333
550284581,4568.0,64.9833
550284584-AddedOffRampEdge,4603.0,67.3
550284598,3104.0,62.5667
550284602,3134.0,55.9333
550284604,1509.0,68.1583
552389451,3146.0,63.25
552603210,3512.0,63.325
56159747,2986.0,66.5625
60759806,3780.0,63.2167
617235585#0,6477.0,60.9708
617235594,2324.0,66.2583
617235603,3240.0,66.4333
617235606,2629.0,65.5583
617235612,1050.0,65.4625
617259141,3742.0,64.95
617259170,2040.0,40.2083
617259178,2925.0,67.25
617284141,4522.0,63.0917
617284143,3347.0,67.575
617284144#0,1042.0,66.7833
617284164,4341.0,67.175
617284166,3491.0,62.2833
617284173,4401.0,64.5125
617335302,5181.0,55.7333
619042916,3819.0,64.95
619042921,6434.0,62.5875
619042924,5050.0,51.0
687721970,4158.0,60.2667
687721986,2116.0,67.8667
699542380#1,1736.0,64.9625
711834658,4180.0,59.0139
727202049,5112.0,61.2
838046085,1731.0,67.675
848429238,2930.0,62.7625
848488831,3812.0,66.05
848489711,728.0,67.6917
848489712,1169.0,63.8667
848501101#0,812.0,68.4833
848745539#1,2494.0,65.85
848748038,1194.0,66.9417
848748039,1364.0,62.7083
848754158,777.0,67.2333
848767838,2126.0,67.625
848809833,4053.0,66.5
848818561,4278.0,60.7042
848875024#0,3198.0,66.6833
848880058,4281.0,65.1917
848920992#0,4495.0,61.85
849677308#0,3143.0,56.925
849677308#1,3592.0,57.9167
849696784,4525.0,66.3583
849806971#0,3484.0,62.075
849818316,2696.0,63.2833
849821064,649.0,67.0917
849833093,3198.0,66.6833
850026981,2586.0,68.7583
850032296,5637.0,57.7
850057340#0,3683.0,62.0083
850097346,1611.0,63.1583
850098170,4127.0,65.3333
850134421,1277.0,65.35
850376107,3860.0,65.0375
850378488,1049.0,66.5917
850395062,5611.0,59.775
850615423,2213.0,63.9333
850746591,1109.0,65.6208
850760258,2035.0,66.35
851520670,1736.0,68.9667
851520671-AddedOffRampEdge,2036.0,66.3083
851541351,1032.0,68.025
851544880,1119.0,67.7458
