link_id,interval_nVehContrib,interval_harmonicMeanSpeed
119271337,3329.0,63.5583
119271346,3824.0,39.7667
119271357,3313.0,57.4833
123555214,1269.0,66.6417
123555236,3329.0,63.5583
123592887#0,3644.0,48.0583
123867446#1,5295.0,49.7583
123867452,3530.0,65.975
123867453#0,3649.0,16.1083
123867454,3670.0,62.6083
156778691,1419.0,65.0167
157593042,4777.0,43.5167
157607510,2686.0,68.275
157607513#1,3677.0,67.6667
157607517,3414.0,14.125
157782133,5491.0,33.6667
157782136#0,3612.0,65.4667
157782136#1-AddedOnRampEdge,3655.0,67.2417
157806285,7594.0,63.9167
158623068#0,3273.0,65.75
172165117,4342.0,42.5417
184867222#0,3096.0,55.45
184867243,3329.0,63.5583
22372547,4519.0,39.2333
22372559,2468.0,62.5083
23798287,6811.0,62.7458
23798288#1,6009.0,63.075
23807652#1,4173.0,65.85
23955194#0,4724.0,35.3417
23955194#2,4486.0,41.2667
24167679#1,4429.0,60.775
25029732#2,4137.0,59.325
25657136,1769.0,64.825
27829301#1,4906.0,18.4792
28317747,2690.0,23.3056
28317945,3422.0,67.6167
28319413#2,4445.0,57.3167
28319423#0,3840.0,17.7792
28319423#1-AddedOffRampEdge,3976.0,54.975
28357386,2979.0,70.175
28357482,4015.0,29.0667
28357727#0,4147.0,27.9708
28358875#1,6105.0,33.1333
28359025-AddedOnRampEdge,7608.0,43.6583
28359059#1,5998.0,66.8625
28378888#1-AddedOnRampEdge,5854.0,57.8083
28396115#1,5480.0,52.3083
28414204#0,4433.0,63.0417
28433582,4008.0,46.0417
28433597,4111.0,56.05
28433666#1,3630.0,50.8417
28433994#1,3644.0,61.7167
28434077,3668.0,63.1917
28435047,4085.0,58.0167
28435573,5634.0,57.0833
28437104,2436.0,62.8125
28437207,2996.0,64.375
28464126#1,5210.0,60.775
28665770#0,3327.0,63.4917
301865760,4525.0,26.9292
30583337,3330.0,63.4
30959001,2200.0,32.8625
30959012,3027.0,67.425
334904727,3999.0,63.0083
363634378,3330.0,12.0583
366053237,3499.0,15.55
367132265,3547.0,54.5167
394385111,5317.0,62.8667
394385113,4562.0,64.725
394385114#1,2693.0,69.4083
394449801#0,4649.0,66.4542
394449801#1,5419.0,67.9667
395336990,3327.0,63.4917
395337004,3980.0,66.4833
395343763,3226.0,14.2833
395354964#0,4726.0,66.2583
395362577,3138.0,61.125
395368981#0,5538.0,46.6917
395368986,6147.0,66.3417
395394468,4201.0,63.9056
395394473,6269.0,63.35
395439802,3354.0,25.9667
395439805,4529.0,46.875
42397233,2706.0,60.5667
479773092#0,4214.0,67.55
479773095,5418.0,23.7167
479773098,3558.0,42.0167
479773099,3408.0,19.7333
5018717,3114.0,52.7833
5018720,2909.0,41.9
508060359,3793.0,56.5167
508060362,3329.0,63.5583
508115737#0,4685.0,67.5417
508115737#1,5039.0,63.9167
508115745,4867.0,56.1083
508115808,3042.0,15.4667
508137802,2985.0,16.3667
508479313#0,3264.0,62.4083
508479317,3845.0,56.2333
508479326,4483.0,42.9667
508479336,3975.0,60.8917
508479355,3166.0,68.75
508479365#0,5373.0,13.3667
508479370#0,4571.0,23.15
508479370#1,6694.0,58.7833
509747240,4138.0,67.325
509747302,4161.0,67.8583
509747346,5100.0,60.5583
509747348,3732.0,48.225
509747381,4342.0,29.725
