link_id,interval_nVehContrib
157607513#1,4707.0
157607517,3189.0
172165117,3908.0
28414204#0,5382.0
301865760,4044.0
30959001,1685.0
395439802,4394.0
395439805,3701.0
508479313#0,3754.0
508479317,4423.0
508479336,3931.0
508479355,2984.0
508479365#0,4893.0
508479370#0,4185.0
508479370#1,4626.0
509721010#0-AddedOnRampEdge,5213.0
687721970,3359.0
687721973,1928.0
850376107,1905.0
850378488,1690.0
850395062,4077.0
850746591,1242.0
851553864,4615.0
851555734,5440.0
851560451,4710.0
851568240,3872.0
867203204,3339.0
