link_id,interval_nVehContrib,interval_harmonicMeanSpeed
119271337,2756.0,66.4
119271346,4106.0,63.925
119271357,1963.0,63.4417
123555214,977.0,67.1917
123555236,2756.0,66.4
123592887#0,3895.0,55.4
123592924#1,2284.0,66.9
123867439#1-AddedOnRampEdge,6263.0,65.2
123867446#1,4444.0,65.825
123867452,3322.0,65.2417
123867453#0,2988.0,68.8167
123867454,2777.0,61.05
124952169,4454.0,65.2667
156778691,1642.0,62.8417
157593042,3957.0,61.5833
157607513#1,4707.0,47.1583
157607517,3189.0,66.8583
157782133,4776.0,62.2333
157782136#0,4906.0,64.5833
157806285,5466.0,66.7917
158623068#0,2834.0,68.2083
172165117,3908.0,62.8167
184867222#0,2655.0,66.3042
184867243,2756.0,66.4
22372547,2871.0,60.6833
22372559,2447.0,65.9667
23798287,5488.0,59.7917
23798288#1,5105.0,64.2333
23807652#1,4047.0,64.1667
23820853#1,3810.0,68.175
23955194#0,4122.0,64.8
24167679#1,4845.0,58.5
25029732#2,3243.0,62.3083
25657136,2382.0,67.9333
26230999#1,2818.0,57.2
27829301#1,6116.0,62.2708
27829315#1-AddedOnRampEdge,5089.0,64.675
28317586#1,2860.0,63.5417
28317945,3060.0,67.775
28319423#0,3222.0,65.1542
28319423#1-AddedOffRampEdge,3723.0,63.425
28319423#2,2802.0,66.7417
28357386,2473.0,69.775
28357482,1543.0,67.975
28357727#0,4205.0,62.55
28358874#1,7506.0,60.8667
28358875#1,5950.0,59.3417
28359059#1,5470.0,65.8458
28378884#0,5465.0,62.2583
28396115#1,4818.0,60.9667
28414204#0,5382.0,56.0417
28433582,4404.0,55.3708
28433597,2922.0,62.7083
28433666#1,3768.0,62.55
28433994#1,2863.0,62.8792
28434077,2565.0,62.5917
28435047,2592.0,66.25
28435048,2415.0,64.4
28435573,3462.0,62.7417
28437104,2507.0,64.7042
28665770#0,2755.0,66.3083
30583337,2754.0,66.2083
30959001,1685.0,65.3667
334904727,3105.0,66.0542
363634378,4952.0,64.1583
367132265,2330.0,65.6333
394385111,4589.0,62.45
394385113,5339.0,62.65
394385114#1,3551.0,70.4417
394449801#0,4404.0,64.1792
394449801#1,5258.0,65.4417
395336990,2755.0,66.3083
395337004,3930.0,65.7083
395343763,1876.0,68.4833
395354964#0,4450.0,66.475
395362577,2035.0,63.5917
395368981#0,5413.0,67.8625
395368986,4310.0,71.5167
395394468,3956.0,63.8694
395394473,5782.0,63.2667
395439802,4394.0,58.0917
395439805,3701.0,64.4917
42397233,3267.0,44.2667
479773092#0,3900.0,68.025
479773095,4404.0,64.1333
479773098,3665.0,61.925
479773099,2577.0,68.7917
5018717,2809.0,56.3583
5018720,1952.0,60.2417
508060359,2884.0,63.8167
508060361,2970.0,48.5667
508115737#0,4770.0,65.9167
508115737#1,4970.0,64.15
508115745,4544.0,64.8083
508115808,7112.0,61.2083
508137802,5001.0,54.0083
508479313#0,3754.0,57.5
508479317,4423.0,63.0833
508479336,3931.0,62.1083
508479355,2984.0,66.3417
508479365#0,4893.0,64.85
508479370#0,4185.0,63.825
508479370#1,4626.0,66.1333
509747240,4398.0,66.1417
509747302,3879.0,67.2333
509747310-AddedOnRampEdge,3882.0,67.0917
509747346,3779.0,63.1333
509747348,3942.0,66.0167
509747381,4561.0,66.1417
509747406-AddedOffRampEdge,6253.0,67.2
517168464,2158.0,67.2583
52286756#1,5531.0,64.3583
52324493,3579.0,61.0792
544296216-AddedOffRampEdge,5139.0,64.4083
544296218#0,4156.0,66.7667
544296218#1-AddedOnRampEdge,4425.0,66.85
544296218#2,5205.0,64.8917
544296221,4280.0,59.4583
550271868,3017.0,64.2333
550284581,5422.0,63.5333
550284584-AddedOffRampEdge,5888.0,66.175
550284598,2308.0,66.8083
550284602,2235.0,65.2833
550284604,2653.0,65.2
550284605,3336.0,61.0667
552389451,4881.0,64.625
552603210,4203.0,66.7167
56159747,2890.0,66.1833
60759806,2913.0,66.0708
617235585#0,5957.0,62.4083
617235594,5217.0,65.7083
617235603,2362.0,66.7667
617235606,2056.0,66.9583
617235612,3523.0,66.8625
617259141,3807.0,67.0667
617259178,4776.0,65.4833
617284141,3411.0,65.475
617284143,1590.0,68.65
617284144#0,2092.0,68.5167
617284145#0-AddedOnRampEdge,3193.0,60.3667
617284164,4351.0,66.4417
617284166,5474.0,62.5083
617284173,4282.0,65.75
617335302,4819.0,64.7833
619042921,6091.0,64.0917
619042924,4347.0,62.6083
687721970,3359.0,65.0083
687721973,1928.0,68.725
687721986,4142.0,66.9333
699542380#1,2591.0,65.1208
711834658,5023.0,62.2
727202049,3930.0,65.6167
838046085,4027.0,62.1
848429238,3675.0,69.3667
848488831,2877.0,67.5417
848489711,2282.0,68.7083
848489712,2422.0,63.2583
848501101#0,2886.0,68.825
848743564,3328.0,63.6778
848745539#1,2550.0,65.975
848748038,2539.0,64.7083
848748039,2973.0,58.8625
848754158,2201.0,65.5333
848767838,2116.0,68.8667
848809833,3742.0,68.4083
848809834,4129.0,64.5167
848818561,3706.0,67.4042
848875024#0,5141.0,64.225
848880058,2933.0,65.8583
848920992#0,3169.0,61.0458
849677308#0,3973.0,67.075
849677308#1,3999.0,63.7833
849806971#0,3273.0,64.25
849818316,2200.0,64.5083
849821064,1853.0,67.475
850026981,1848.0,68.775
850032296,4425.0,66.2917
850057340#0,3122.0,65.0333
850097346,3651.0,63.6833
850098170,2902.0,68.4917
850134421,2051.0,66.4833
850376107,1905.0,68.4208
850378488,1690.0,67.8917
850395062,4077.0,66.0583
850615423,4652.0,63.3833
850746591,1242.0,65.3917
850760258,2755.0,66.3083
851520671-AddedOffRampEdge,1137.0,64.5417
851541351,2745.0,66.0583
851544880,2612.0,68.0625
851550873,4100.0,65.6139
851552197,3245.0,65.5361
851553864,4615.0,61.5083
851555734,5440.0,52.5333
851556422,3831.0,59.2417
851560451,4710.0,57.5583
851568240,3872.0,66.7917
854162451,3255.0,64.7833
854215625,3815.0,63.95
860646752-AddedOffRampEdge,3849.0,67.2333
861059531,4167.0,66.7083
863751890,7119.0,63.4333
863754537,4701.0,61.5667
867203204,3339.0,71.425
867204830-AddedOffRampEdge,4417.0,65.4167
867208766,3867.0,66.2
867246178,4264.0,64.9125
867247243,4683.0,63.4958
867251845#0,3242.0,65.8333
867256162#0,3163.0,64.1167
867256162#3,2093.0,65.4583
867256163,3508.0,67.3667
867259033,2695.0,63.175
867262165#0,2325.0,67.4083
867290381,2393.0,63.0708
8954447,3767.0,66.075
95265016#1,2329.0,65.7833
