link_id,interval_nVehContrib,interval_harmonicMeanSpeed
157607510,1918.0,68.3583
157607513#1,2512.0,66.9583
172165117,1704.0,67.7167
28414195,2086.0,63.825
28414204#0,2261.0,63.55
28464126#1,2815.0,63.725
301865760,2057.0,66.3083
30959001,927.0,64.8125
395439802,1744.0,67.2667
395439805,1632.0,67.8417
508479313#0,1604.0,62.3417
508479317,1808.0,70.1667
508479336,2328.0,64.6
508479355,2119.0,68.9667
508479365#0,3193.0,66.25
508479370#0,2595.0,65.5917
509721010#0-AddedOnRampEdge,2987.0,64.6333
687721970,2055.0,65.4
687721973,926.0,70.2583
850376107,1064.0,68.1708
850378488,861.0,67.0833
850395062,2237.0,65.1667
850746591,747.0,65.4875
851553864,2066.0,62.3
851555734,2338.0,56.1167
851560451,1917.0,65.8167
851568240,2166.0,71.275
867203204,1881.0,70.85
