link_id,interval_nVehContrib
157607513#1,4815.0
157607517,3676.0
172165117,4570.0
28414204#0,5415.0
301865758,4493.0
301865760,4505.0
30959001,2124.0
395439802,4556.0
395439805,4273.0
508479313#0,3782.0
508479317,4533.0
508479336,4356.0
508479355,3152.0
508479365#0,5775.0
508479370#0,4931.0
508479370#1,5696.0
509721010#0-AddedOnRampEdge,5458.0
687721970,3500.0
687721973,1922.0
850376107,1915.0
850378488,2119.0
850395062,4277.0
850746591,1419.0
851553864,5415.0
851555734,5636.0
851560451,4827.0
851568240,4046.0
867203204,4055.0
