link_id,interval_nVehContrib,interval_harmonicMeanSpeed
157607513#1,5794.0,38.4167
172165117,4470.0,28.75
28414204#0,5019.0,42.4083
301865758,3794.0,57.2
301865760,4235.0,58.5042
30959001,2154.0,65.0375
395439802,4636.0,36.7917
395439805,4460.0,59.0417
508479313#0,3984.0,36.4667
508479317,4956.0,37.4083
508479336,3921.0,37.9667
508479355,4715.0,55.5333
508479365#0,4036.0,65.3083
508479370#0,3483.0,61.3917
508479370#1,3616.0,61.575
509721010#0-AddedOnRampEdge,6344.0,44.8583
687721970,4087.0,46.5
687721973,4381.0,44.8167
850376107,4879.0,49.9625
850378488,2065.0,66.2
850395062,4830.0,55.2417
850746591,3666.0,51.6917
851553864,4493.0,53.4
851555734,5245.0,52.7083
851560451,4849.0,37.875
851568240,5670.0,58.25
867203204,2919.0,69.925
