link_id,interval_nVehContrib,interval_harmonicMeanSpeed
157607513#1,3857.0,66.35
157607517,3393.0,14.875
172165117,3929.0,28.2083
28414204#0,4391.0,62.575
301865758,4036.0,23.9
301865760,4177.0,25.6167
30959001,2637.0,25.5167
395439802,2969.0,19.0917
395439805,4168.0,35.9583
508479313#0,2957.0,58.1917
508479317,3662.0,56.2333
508479336,3530.0,38.275
508479355,2733.0,68.9
508479365#0,5410.0,13.0583
508479370#0,5330.0,30.3083
508479370#1,6815.0,58.1417
509721010#0-AddedOnRampEdge,5295.0,64.0667
687721970,3301.0,65.3417
687721973,2227.0,68.6167
850376107,2383.0,67.9333
850378488,3796.0,26.1333
850395062,3180.0,64.5667
850746591,1506.0,64.5458
851553864,5048.0,24.2167
851555734,4751.0,57.4583
851560451,3639.0,20.8
851568240,3107.0,71.7917
867203204,4094.0,11.3
