link_id,interval_nVehContrib
157607510,3012.0
157607513#1,4008.0
157607517,3704.0
172165117,4516.0
28414195,5823.0
28414204#0,5027.0
28464126#1,6112.0
301865760,5273.0
395439802,4099.0
395439805,4554.0
508479313#0,4128.0
508479317,4267.0
508479336,4126.0
508479355,4129.0
508479365#0,5729.0
508479370#0,3700.0
508479370#1,6621.0
509721010#0-AddedOnRampEdge,6115.0
687721970,4126.0
850376107,2187.0
850378488,3942.0
850395062,3583.0
850746591,2367.0
851553864,5204.0
851555734,4990.0
851560451,4481.0
851568240,3349.0
867203204,4441.0
