link_id,interval_nVehContrib
119271213,1981.0
119271337,1978.0
119271346,3285.0
119271357,1275.0
123555214,437.0
123555236,1978.0
123592887#0,2882.0
123592887#1-AddedOffRampEdge,3652.0
123867439#1-AddedOnRampEdge,5179.0
123867446#1,4095.0
123867452,3584.0
123867453#0,858.0
123867454,3716.0
124952169,1933.0
156778691,1796.0
157593042,2436.0
157607513#1,6008.0
157607517,1772.0
157782136#0,3576.0
157806285,3442.0
158623068#0,1980.0
158623068#1,1980.0
172165117,2782.0
184867222#0,1981.0
184867243,1978.0
22372547,1194.0
22372559,2264.0
23798287,5871.0
23798288#1,5775.0
23807652#1,4862.0
23955194#0,2473.0
23955194#1,3142.0
23955194#2,2270.0
25029732#2,4863.0
25657136,2213.0
26230999#1,1981.0
28317586#1,1981.0
28317945,3587.0
28319413#2,919.0
28319423#0,946.0
28319423#1-AddedOffRampEdge,1980.0
28319423#2,881.0
28357386,4385.0
28357482,769.0
28357727#0,1664.0
28358874#1,5801.0
28358875#1,3142.0
28359059#1,5781.0
28396115#1,2689.0
28414204#0,4186.0
28433582,4799.0
28433666#1,4367.0
28433994#1,1981.0
28434077,4863.0
28435047,1618.0
28435048,1981.0
28435573,3996.0
28437104,2759.0
28437190#1,1980.0
28437207,1980.0
28464126#1,5804.0
28464668#1,2900.0
28464671-AddedOnRampEdge,3142.0
28665770#0,1981.0
301865758,3142.0
30583337,1980.0
30959001,1181.0
326409095#1,2587.0
334904727,3128.0
363634378,3624.0
367132265,803.0
394385113,4859.0
394385114#1,3614.0
394449801#0,4795.0
394449801#1,5571.0
395336990,1981.0
395337004,4863.0
395343261,4863.0
395343763,430.0
395354964#0,5649.0
395362577,2880.0
395368981#0,3351.0
395368986,3193.0
395394468,2378.0
395394473,5801.0
395439802,2756.0
395439805,2385.0
42397233,2184.0
479773092#0,4926.0
479773095,2473.0
479773098,1980.0
479773099,1303.0
5018717,1978.0
5018720,2351.0
508060359,1649.0
508060361,1978.0
508060362,1978.0
508115737#0,4788.0
508115737#1,5804.0
508115745,4870.0
508115808,3145.0
508137802,3145.0
508479313#0,4863.0
508479317,3308.0
508479326,4150.0
508479336,4862.0
508479355,4860.0
508479365#0,3417.0
508479370#0,1770.0
508479370#1,2695.0
509747240,4003.0
509747302,4900.0
509747310-AddedOnRampEdge,4948.0
509747346,5804.0
509747348,1980.0
509747381,2327.0
509747406-AddedOffRampEdge,6534.0
517168464,810.0
52286756#1,5803.0
52324493,1980.0
544296215#0,2102.0
544296218#0,5052.0
544296218#1-AddedOnRampEdge,5231.0
544296218#2,6586.0
544296221,3146.0
550271868,1125.0
550284581,4216.0
550284584-AddedOffRampEdge,4230.0
550284598,2740.0
550284602,2922.0
550284604,1443.0
552389451,2908.0
56159747,2503.0
60759806,3561.0
617235585#0,5801.0
617235594,3145.0
617235603,2798.0
617235606,1887.0
617235612,945.0
617259141,3609.0
617259170,2027.0
617259178,2527.0
617284141,4124.0
617284143,3149.0
617284144#0,1039.0
617284145#0-AddedOnRampEdge,3721.0
617284164,4507.0
617284166,3872.0
617284173,4282.0
617335302,4368.0
619042916,3145.0
619042919,4862.0
619042921,5803.0
619042924,5801.0
687721970,4862.0
687721973,3293.0
687721986,1952.0
699542380#1,1981.0
711834658,2581.0
727202049,4862.0
838046085,1576.0
848429238,2158.0
848467540#0,3192.0
848467541,4863.0
848488831,3202.0
848489711,680.0
848489712,1981.0
848501101#0,787.0
848745539#1,2242.0
848748038,1081.0
848748039,1262.0
848754158,749.0
848767838,1916.0
848809833,3964.0
848809834,4862.0
848818561,4475.0
848875024#0,3142.0
848880058,3692.0
848920992#0,4097.0
849677308#0,3142.0
849696784,4252.0
849806971#0,1980.0
849818316,2417.0
849821064,644.0
849833093,3142.0
850026981,1980.0
850032296,5437.0
850057340#0,5256.0
850097346,1980.0
850098170,3757.0
850134421,1219.0
850376107,3717.0
850378488,995.0
850395062,5084.0
850615423,2776.0
850746591,1736.0
850760258,1981.0
851520670,1750.0
851520671-AddedOffRampEdge,1980.0
851541351,1031.0
851544880,1132.0
851550873,2661.0
851552197,3886.0
851553864,3414.0
851555734,4128.0
851556422,1980.0
851560451,3213.0
851568240,5238.0
851569274,887.0
854162451,3142.0
854215625,4639.0
860646752-AddedOffRampEdge,4015.0
861059531,2614.0
863751890,5806.0
863754537,5804.0
867203204,1914.0
867204830-AddedOffRampEdge,2115.0
867208766,4466.0
867246178,5540.0
867247243,2242.0
867251845#0,794.0
867256162#0,3830.0
867256162#3,2256.0
867256163,4104.0
867259033,2156.0
867262165#0,696.0
867290381,3460.0
8954447,2111.0
95265016#1,1981.0
