link_id,interval_nVehContrib
119271337,3346.0
119271346,4313.0
119271357,3131.0
123555214,1544.0
123592887#0,3789.0
123592924#1,3139.0
123867439#1-AddedOnRampEdge,7260.0
123867446#1,5903.0
123867452,3868.0
123867453#0,4071.0
123867454,3401.0
124952169,5217.0
155667053,3198.0
156778691,1854.0
157593042,5085.0
157607510,3012.0
157607513#1,4008.0
157607517,3704.0
157782136#0,4988.0
157782136#1-AddedOnRampEdge,4996.0
158623068#0,3345.0
158623068#1,3345.0
172165117,4516.0
184867222#0,3344.0
184867243,3346.0
22372547,4640.0
22372559,2657.0
23798287,6590.0
23798288#1,5954.0
23807652#1,4126.0
23955194#0,5035.0
23955194#1,5823.0
23955194#2,4997.0
24167679#1,3345.0
25029732#2,4128.0
25657136,2874.0
27829301#1,6503.0
28317945,3854.0
28319423#0,4256.0
28357386,2885.0
28357482,3793.0
28357727#0,4142.0
28358874#1,6115.0
28358875#1,5823.0
28359025-AddedOnRampEdge,7308.0
28359059#1,5890.0
28396115#1,5994.0
28414195,5823.0
28414204#0,5027.0
28433582,4561.0
28433597,3869.0
28433666#1,3978.0
28433994#1,3344.0
28434077,4128.0
28435047,3978.0
28435573,5958.0
28437104,2755.0
28437207,3345.0
28464126#1,6112.0
28464668#1,6107.0
28464671-AddedOnRampEdge,5823.0
28665770#0,3344.0
301865760,5273.0
30583337,3345.0
30959012,3303.0
334904727,3959.0
363634378,4278.0
366053237,4387.0
367132265,3057.0
394385113,4126.0
394385114#1,2948.0
394449801#0,5028.0
394449801#1,5727.0
395336990,3344.0
395337004,4128.0
395343261,4128.0
395343763,3221.0
395354964#0,4636.0
395362577,3177.0
395368981#0,7483.0
395368986,5708.0
395394468,4046.0
395394473,6115.0
395439802,4099.0
395439805,4554.0
42397233,3186.0
479773092#0,4247.0
479773095,6071.0
479773099,3607.0
5018717,3346.0
5018720,2827.0
508060359,3178.0
508060362,3346.0
508115737#0,5110.0
508115737#1,6112.0
508115745,4989.0
508115808,5817.0
508137802,5821.0
508479313#0,4128.0
508479317,4267.0
508479326,5266.0
508479336,4126.0
508479355,4129.0
508479365#0,5729.0
508479370#0,3700.0
508479370#1,6621.0
509747240,4394.0
509747302,4210.0
509747346,6112.0
509747348,3345.0
509747381,4716.0
509747406-AddedOffRampEdge,7070.0
517168464,3677.0
52286756#1,6112.0
544296215#0,4702.0
544296218#0,3776.0
544296218#1-AddedOnRampEdge,3837.0
544296218#2,4541.0
544296221,3922.0
550271868,3996.0
550284581,5668.0
550284584-AddedOffRampEdge,5865.0
550284598,3083.0
550284602,2986.0
552389451,5210.0
552603210,4681.0
56159747,3554.0
60759806,4170.0
617235585#0,6115.0
617235594,5821.0
617235603,2973.0
617235606,2554.0
617235612,5207.0
617259138,1887.0
617259141,4918.0
617259178,5434.0
617284141,4674.0
617284143,1914.0
617284144#0,3509.0
617284145#0-AddedOnRampEdge,3819.0
617284164,4276.0
617284166,6197.0
617284173,5075.0
617335302,4603.0
619042921,6115.0
619042924,6115.0
687721970,4126.0
687721986,5483.0
699542380#1,3345.0
711834658,3760.0
727202049,4126.0
838046085,6217.0
848429238,3677.0
848467540#0,3127.0
848467541,4128.0
848488831,3617.0
848501101#0,4276.0
848743564,4364.0
848745539#1,2757.0
848748039,4804.0
848754158,3105.0
848767838,2278.0
848809833,3971.0
848875024#0,5823.0
848880058,3288.0
848920992#0,3817.0
849677308#0,5279.0
849806971#0,3345.0
849818316,2351.0
849821064,2761.0
850026981,3345.0
850032296,5016.0
850057340#0,6297.0
850097346,3345.0
850098170,4339.0
850134421,4701.0
850376107,2187.0
850378488,3942.0
850395062,3583.0
850615423,5649.0
850616213,6112.0
850746591,2367.0
850760258,3344.0
851520670,3023.0
851520671-AddedOffRampEdge,3345.0
851544880,4474.0
851550873,5000.0
851553864,5204.0
851555734,4990.0
851556422,3345.0
851560451,4481.0
851568240,3349.0
854162451,5823.0
854215625,4861.0
860646752-AddedOffRampEdge,4422.0
861059531,5454.0
863754537,6115.0
867203204,4441.0
867204830-AddedOffRampEdge,6215.0
867208766,3963.0
867246178,5103.0
867247243,4578.0
867251845#0,5239.0
867256162#0,3878.0
867256162#3,2764.0
867256163,4335.0
867259033,3334.0
867262165#0,3729.0
867290381,3386.0
8954447,5251.0
