link_id,interval_nVehContrib
157607513#1,3873.0
157607517,3836.0
172165117,4598.0
28414204#0,4640.0
28464126#1,4665.0
301865758,3204.0
301865760,3304.0
395439802,3695.0
395439805,3287.0
508479313#0,3232.0
508479317,4064.0
508479336,4307.0
508479355,2823.0
508479365#0,5680.0
508479370#0,5358.0
508479370#1,6742.0
509721010#0-AddedOnRampEdge,5452.0
687721970,3416.0
687721973,2390.0
850376107,1647.0
850378488,2871.0
850395062,3376.0
850746591,1571.0
851553864,5366.0
851555734,4625.0
851560451,4253.0
851568240,3310.0
867203204,4342.0
