link_id,interval_nVehContrib,interval_harmonicMeanSpeed
28413844,7156.0,54.0333
508115745,4989.0,57.8694
508115768,5855.0,51.5417
508115808,6553.0,45.425
508137802,7153.0,52.575
508479370#1,6742.0,59.325
52286756#1,6112.0,62.9083
544296216-AddedOffRampEdge,5824.0,31.925
544296218#0,3348.0,67.2667
544296218#1-AddedOnRampEdge,3665.0,68.6417
544296218#2,4474.0,65.9167
619042896-AddedOffRampEdge,3673.0,69.15
619042916,6618.0,60.6
619042919,4398.0,62.1333
849833093,5823.0,31.825
851550873,5135.0,55.3639
851556422,5423.0,57.9333
