link_id,interval_nVehContrib,interval_harmonicMeanSpeed
119271337,3346.0,64.0917
119271346,4339.0,63.0417
119271357,3096.0,61.5333
123555214,1553.0,66.8625
123555236,3346.0,64.0917
123592887#0,3755.0,48.9792
123592924#1,3160.0,60.3333
123867439#1-AddedOnRampEdge,7031.0,66.0833
123867446#1,5851.0,36.1917
123867452,3826.0,67.0333
123867454,2426.0,63.1083
124952169,3468.0,24.8972
156778691,1601.0,65.825
157593042,5059.0,60.2583
157607513#1,3873.0,67.85
157607517,3836.0,23.5917
157782136#1-AddedOnRampEdge,4874.0,67.375
158623068#0,3858.0,68.2917
172165117,4598.0,40.4833
184867222#0,3407.0,64.3375
184867243,3346.0,64.0917
22372547,4563.0,56.6
22372559,2697.0,61.6
23798287,5482.0,63.475
23798288#1,4533.0,63.0417
23807652#1,4304.0,65.5875
23955194#0,4559.0,14.775
24167679#1,5436.0,58.4083
25029732#2,4194.0,58.6333
25657136,2364.0,66.975
26230999#1,4972.0,45.0083
27829301#1,4785.0,27.8833
27829315#1-AddedOnRampEdge,4641.0,63.9083
28317747,3207.0,32.55
28317945,3748.0,66.325
28319423#0,4261.0,21.0667
28319423#1-AddedOffRampEdge,4369.0,42.9083
28357386,2014.0,70.0667
28357482,3890.0,47.0333
28357727#0,3480.0,22.3125
28358874#1,7781.0,60.075
28358875#1,4615.0,39.7333
28358961,5865.0,61.3167
28359025-AddedOnRampEdge,5441.0,45.3833
28359059#1,5165.0,65.2458
28378884#0,5622.0,60.4333
28396115#1,5701.0,22.7917
28414204#0,4640.0,62.8
28433582,4676.0,43.0917
28433597,4349.0,51.5083
28433666#1,4064.0,52.9583
28433994#1,3858.0,59.75
28434077,3163.0,61.125
28435047,4088.0,57.5458
28435573,4962.0,59.4917
28437104,2476.0,62.225
28464126#1,4665.0,61.3417
28665770#0,3344.0,63.9917
301865758,3204.0,27.0917
30583337,3345.0,63.9333
334904727,3921.0,62.3917
363634378,4200.0,18.3333
363648766#1-AddedOnRampEdge,4540.0,53.5
366053237,4243.0,21.9917
367132265,2968.0,65.4917
394385111,4717.0,61.2667
394385113,3921.0,62.8333
394385114#1,2553.0,69.55
394449801#0,3640.0,68.45
394449801#1,5335.0,69.9042
395336990,3344.0,63.9917
395337004,4128.0,66.6
395343763,3261.0,61.3167
395354964#0,3248.0,66.6833
395362577,2670.0,60.7583
395368981#0,7743.0,62.4625
