link_id,interval_nVehContrib
157607513#1,6001.0
172165117,2771.0
28414204#0,3600.0
28464126#1,4323.0
301865758,3206.0
301865760,3445.0
30959001,1004.0
395439802,3122.0
395439805,2372.0
508479313#0,2658.0
508479317,3410.0
508479336,3102.0
508479355,3816.0
508479365#0,3492.0
508479370#0,2758.0
509721010#0-AddedOnRampEdge,6040.0
687721970,4033.0
687721973,3465.0
850376107,3720.0
850378488,976.0
850395062,5492.0
850746591,2746.0
851553864,3457.0
851555734,4303.0
851560451,3302.0
851568240,5325.0
867203204,1954.0
