link_id,interval_nVehContrib,interval_harmonicMeanSpeed
157607513#1,4424.0,50.4667
157607517,3285.0,66.975
172165117,4114.0,62.575
28414204#0,5398.0,54.1667
301865760,4213.0,63.8125
30959001,1679.0,65.6375
395439802,4457.0,57.2667
395439805,3921.0,64.3583
508479313#0,3719.0,57.7667
508479317,4425.0,62.9917
508479336,4111.0,62.05
508479355,2934.0,67.3417
508479365#0,5134.0,64.95
508479370#0,4435.0,64.0417
508479370#1,4805.0,65.6333
509721010#0-AddedOnRampEdge,4808.0,61.1333
687721970,3125.0,65.2083
687721973,1609.0,68.825
850376107,1715.0,68.7625
850378488,1686.0,67.7083
850395062,3887.0,65.25
850746591,1128.0,65.3958
851553864,4881.0,59.0417
851555734,5653.0,53.0583
851560451,4718.0,59.725
851568240,3623.0,67.75
867203204,3508.0,71.3167
