link_id,interval_nVehContrib
157607510,1845.0
157607513#1,2573.0
172165117,1926.0
28414195,2269.0
28414204#0,2526.0
28464126#1,3082.0
301865760,2268.0
30959001,897.0
395439802,1862.0
395439805,1817.0
508479313#0,1733.0
508479317,1898.0
508479336,2438.0
508479355,2143.0
508479365#0,3112.0
508479370#0,2524.0
509721010#0-AddedOnRampEdge,2836.0
687721970,1983.0
687721973,1012.0
850376107,1132.0
850378488,851.0
850395062,2116.0
850746591,775.0
851553864,2265.0
851555734,2523.0
851560451,1959.0
851568240,2116.0
867203204,1719.0
