link_id,interval_nVehContrib
119271337,607.0
119271346,857.0
119271357,493.0
123555214,241.0
123555236,607.0
123592887#0,760.0
123592887#1-AddedOffRampEdge,781.0
123867439#1-AddedOnRampEdge,1796.0
123867446#1,1253.0
123867452,717.0
123867453#0,343.0
123867454,895.0
124952169,727.0
156778691,538.0
157593042,934.0
157607510,1029.0
157607513#1,1369.0
157782133,2098.0
157782136#0,1160.0
157806285,1548.0
158623068#0,362.0
172165117,864.0
184867222#0,600.0
184867243,607.0
22372547,388.0
22372559,526.0
23798287,1866.0
23798288#1,2690.0
23807652#1,1362.0
23955194#0,786.0
23955194#1,1203.0
23955194#2,773.0
24167679#1,2191.0
25029732#2,930.0
25657136,603.0
26230999#1,782.0
27829301#1,1071.0
27829315#1-AddedOnRampEdge,2185.0
28317586#1,1503.0
28317945,755.0
28319423#0,382.0
28319423#1-AddedOffRampEdge,1071.0
28319423#2,391.0
28357386,928.0
28357482,415.0
28357727#0,811.0
28358874#1,2491.0
28358875#1,1274.0
28359059#1,1419.0
28396115#1,826.0
28414195,1520.0
28414204#0,1115.0
28433582,1234.0
28433666#1,1065.0
28433994#1,781.0
28434077,1113.0
28435047,654.0
28435048,865.0
28435573,1246.0
28437104,753.0
28437207,1150.0
28464126#1,1889.0
28464667,942.0
28464671-AddedOnRampEdge,1330.0
28665770#0,606.0
301865760,1423.0
30583337,605.0
30959001,541.0
30959012,948.0
334904727,781.0
363634378,1127.0
363648766#1-AddedOnRampEdge,974.0
367132265,275.0
394385111,2248.0
394385113,2036.0
394385114#1,727.0
394449801#0,1152.0
394449801#1,1975.0
395336990,606.0
395337004,1227.0
395343261,1035.0
395343763,2.0
395354964#0,1249.0
395362577,614.0
395368981#0,1429.0
395368986,1157.0
395394468,1288.0
395394473,2420.0
395394478,1702.0
395439802,753.0
395439805,867.0
42397233,535.0
479773092#0,1132.0
479773098,1454.0
479773099,517.0
5018717,1201.0
5018720,561.0
508060359,952.0
508115737#0,932.0
508115737#1,1363.0
508115745,1381.0
508115808,2257.0
508137802,1928.0
508479313#0,1056.0
508479317,851.0
508479326,1043.0
508479336,1446.0
508479355,1207.0
508479365#0,2287.0
508479370#0,1726.0
509747240,1255.0
509747302,1225.0
509747310-AddedOnRampEdge,1234.0
509747346,1756.0
509747348,1119.0
509747381,788.0
509747406-AddedOffRampEdge,1780.0
517168464,337.0
52286756#1,1609.0
52324493,1058.0
544296216-AddedOffRampEdge,1201.0
544296218#0,1369.0
544296218#2,1512.0
544296221,876.0
550271868,585.0
550284581,1288.0
550284598,618.0
550284602,717.0
550284604,559.0
552603210,1179.0
60759806,960.0
617235594,1220.0
617235603,516.0
617235606,751.0
617235612,399.0
617259141,1136.0
617259178,820.0
617284141,921.0
617284143,612.0
617284144#0,451.0
617284145#0-AddedOnRampEdge,711.0
617284164,947.0
617284166,1141.0
617284173,905.0
617335302,1678.0
619042916,2183.0
619042919,1359.0
619042921,2130.0
619042924,1972.0
687721970,1315.0
687721973,617.0
687721986,748.0
699542380#1,710.0
727202049,1227.0
768291603,1222.0
838046085,742.0
848429238,989.0
848488831,766.0
848489711,305.0
848489712,690.0
848501101#0,331.0
848745539#1,536.0
848748038,397.0
848748039,538.0
848754158,270.0
848767838,494.0
848809833,811.0
848809834,1174.0
848875024#0,1202.0
848880058,639.0
848920992#0,809.0
849677308#0,1101.0
849677308#1,1686.0
849696784,1001.0
849818316,556.0
849821064,305.0
849833093,1202.0
850026981,708.0
850032296,1332.0
850057340#0,1380.0
850097346,821.0
850098170,838.0
850134421,670.0
850376107,760.0
850378488,537.0
850395062,1306.0
850615423,824.0
850616213,1465.0
850746591,551.0
850760258,606.0
851520671-AddedOffRampEdge,605.0
851541351,543.0
851544880,550.0
851550873,1111.0
851553864,1262.0
851555734,1263.0
851560451,798.0
851568240,1127.0
851569274,327.0
854162451,970.0
854215625,1137.0
860646752-AddedOffRampEdge,1288.0
861059531,1228.0
863751890,2573.0
863754537,2468.0
867203204,953.0
867204830-AddedOffRampEdge,826.0
867208766,1203.0
867246178,1618.0
867247243,1166.0
867251845#0,287.0
867256162#0,763.0
867256162#3,544.0
867259033,938.0
867262165#0,307.0
867290381,797.0
8954447,837.0
95265016#1,699.0
