link_id,interval_nVehContrib
157607510,2493.0
157607513#1,3841.0
172165117,3229.0
28414204#0,3227.0
28464126#1,3795.0
301865760,3406.0
30959001,1231.0
395439802,2688.0
395439805,3054.0
508479313#0,2190.0
508479317,2725.0
508479336,3381.0
508479355,2966.0
508479365#0,4134.0
508479370#0,3147.0
508479370#1,3150.0
509721010#0-AddedOnRampEdge,4531.0
687721970,2905.0
687721973,1628.0
850376107,1681.0
850378488,1195.0
850395062,3341.0
850746591,1140.0
851553864,3769.0
851555734,3444.0
851560451,2832.0
851568240,3392.0
867203204,2176.0
