link_id,interval_nVehContrib
119271213,3003.0
119271337,3003.0
119271346,4299.0
119271357,1973.0
123555214,1355.0
123555236,3003.0
123592887#0,3852.0
123592924#1,2855.0
123867439#1-AddedOnRampEdge,6495.0
123867446#1,4762.0
123867452,3896.0
123867453#0,3784.0
123867454,3261.0
124952169,5328.0
156778691,1702.0
157593042,4097.0
157607513#1,4652.0
157607517,3833.0
157782133,5113.0
157782136#0,4975.0
157782136#1-AddedOnRampEdge,5010.0
158623068#0,3183.0
172165117,4140.0
184867222#0,2839.0
184867243,3003.0
22372547,3131.0
22372559,2677.0
23798287,6202.0
23798288#1,5382.0
23807652#1,4319.0
23820853#1,4064.0
23955194#0,4592.0
24167679#1,5000.0
25029732#2,3604.0
25657136,2428.0
26230999#1,3248.0
27829301#1,7166.0
27829315#1-AddedOnRampEdge,5412.0
28317945,3197.0
28319423#0,3606.0
28319423#1-AddedOffRampEdge,3979.0
28319423#2,3177.0
28357386,2990.0
28357482,1872.0
28357727#0,4947.0
28358874#1,7998.0
28358875#1,6868.0
28359025-AddedOnRampEdge,6985.0
28359059#1,5872.0
28378884#0,6403.0
28396115#1,5342.0
28414204#0,5100.0
28433582,5101.0
28433597,3006.0
28433666#1,4300.0
28433994#1,3156.0
28434077,2539.0
28435047,2991.0
28435048,2618.0
28435573,3621.0
28437104,2556.0
28665770#0,3003.0
30583337,3002.0
30959001,1891.0
363634378,4952.0
363648766#1-AddedOnRampEdge,4092.0
367132265,2479.0
394385111,5379.0
394385113,5553.0
394385114#1,3738.0
394449801#0,4805.0
394449801#1,5741.0
395336990,3003.0
395337004,4166.0
395343763,2170.0
395354964#0,4520.0
395362577,2125.0
395368981#0,6319.0
395368986,5010.0
395394468,4304.0
395394473,6100.0
395439802,4353.0
395439805,3967.0
42397233,3225.0
479773092#0,4107.0
479773095,5127.0
479773098,4033.0
479773099,3124.0
5018717,2909.0
5018720,2038.0
508060359,2685.0
508060361,2878.0
508060362,3003.0
508115737#0,5643.0
508115737#1,5747.0
508115745,4930.0
508115808,8114.0
508137802,5481.0
508479313#0,3632.0
508479317,4429.0
508479336,4148.0
508479355,2978.0
508479365#0,5697.0
508479370#0,4697.0
508479370#1,5570.0
509747240,4692.0
509747302,4165.0
509747310-AddedOnRampEdge,4165.0
509747346,3956.0
509747348,4143.0
509747381,4961.0
509747406-AddedOffRampEdge,7175.0
517168464,2510.0
52286756#1,5896.0
52324493,3923.0
544296216-AddedOffRampEdge,5830.0
544296218#0,4329.0
544296218#1-AddedOnRampEdge,4569.0
544296218#2,5364.0
544296221,4391.0
550271868,3591.0
550284581,5603.0
550284584-AddedOffRampEdge,6050.0
550284598,2423.0
550284602,2309.0
550284604,3156.0
550284605,3111.0
552389451,5461.0
552603210,4488.0
56159747,3303.0
60759806,2732.0
617235585#0,6539.0
617235594,5994.0
617235603,2373.0
617235606,2176.0
617235612,4284.0
617259141,4025.0
617259178,5197.0
617284141,4062.0
617284143,1927.0
617284144#0,2683.0
617284145#0-AddedOnRampEdge,3010.0
617284164,4993.0
617284166,5809.0
617284173,5075.0
617335302,5665.0
619042921,6424.0
619042924,4446.0
687721970,3433.0
687721973,2195.0
687721986,4463.0
699542380#1,2793.0
711834658,4908.0
727202049,4166.0
838046085,4233.0
848429238,3189.0
848488831,3211.0
848489711,2630.0
848489712,2659.0
848501101#0,3112.0
848743564,4142.0
848745539#1,2814.0
848748038,2969.0
848748039,3385.0
848754158,2412.0
848767838,2382.0
848809833,4651.0
848818561,4965.0
848875024#0,5830.0
848880058,2940.0
848920992#0,3209.0
849677308#0,4630.0
849806971#0,3543.0
849818316,2434.0
849821064,2209.0
850026981,2165.0
850032296,4885.0
850057340#0,3570.0
850097346,4218.0
850098170,3553.0
850134421,2437.0
850376107,2182.0
850378488,1878.0
850395062,4132.0
850615423,5037.0
850746591,1534.0
850760258,3003.0
851520671-AddedOffRampEdge,1383.0
851544880,2991.0
851550873,4757.0
851552197,3562.0
851553864,5138.0
851555734,5452.0
851556422,4232.0
851560451,4697.0
851568240,3960.0
854162451,3796.0
854215625,4499.0
860646752-AddedOffRampEdge,4107.0
861059531,4611.0
863751890,7219.0
863754537,5012.0
867203204,4154.0
867204830-AddedOffRampEdge,4832.0
867208766,4119.0
867246178,4669.0
867247243,5027.0
867251845#0,3886.0
867256162#0,3395.0
867256162#3,2198.0
867256163,3782.0
867259033,3084.0
867262165#0,2628.0
8954447,4297.0
