link_id,interval_nVehContrib,interval_harmonicMeanSpeed
11479094,3723.0,59.3833
119271337,3212.0,64.1417
119271346,4113.0,42.2333
119271357,3377.0,57.0917
123555214,1649.0,67.2417
123555236,3212.0,64.1417
123592887#0,4134.0,54.3708
123592924#1,3217.0,26.2917
123867439#1-AddedOnRampEdge,8327.0,65.3083
123867446#1,5269.0,46.55
123867452,3564.0,51.4792
123867454,3426.0,63.3583
124952169,4549.0,22.4
156778691,1441.0,65.65
157593042,3460.0,42.5083
157607513#1,3829.0,66.725
157607517,3308.0,14.1333
157782133,5693.0,45.25
157782136#0,5407.0,64.9333
157782136#1-AddedOnRampEdge,5477.0,66.85
158623068#0,3818.0,67.4833
172165117,4224.0,24.7
184867222#0,3065.0,52.0708
184867243,3212.0,64.1417
22372547,4887.0,41.2417
22372559,2550.0,62.7583
23798287,6892.0,63.4417
23798288#1,5840.0,64.2833
23807652#1,4234.0,65.3375
23955194#0,4450.0,13.95
24167679#1,4536.0,60.2917
25029732#2,4295.0,58.3667
25657136,2207.0,64.125
26230999#1,5518.0,39.3917
27829301#1,6428.0,23.8958
27829315#1-AddedOnRampEdge,5935.0,63.25
28317747,2793.0,15.2278
28317945,3430.0,67.2083
28319423#0,3978.0,17.7333
28319423#1-AddedOffRampEdge,4556.0,42.2583
28319423#2,4390.0,29.9667
28357386,3164.0,66.2333
28357482,3819.0,25.2
28357727#0,4753.0,20.2167
28358874#1,7600.0,61.2583
28358875#1,6584.0,38.0167
28359025-AddedOnRampEdge,7680.0,43.9167
28359059#1,5614.0,66.9583
28378884#0,5702.0,63.6417
28414204#0,4408.0,63.4167
28433582,2594.0,21.3375
28433597,4330.0,40.25
28433666#1,2463.0,25.4
28433994#1,3796.0,60.1125
28434077,3293.0,61.75
28435047,5172.0,54.6917
28435573,5086.0,54.5333
28437104,2254.0,62.4583
28665770#0,3211.0,64.0667
301865758,4131.0,25.0417
30583337,3213.0,63.975
30959001,2241.0,22.4042
30959012,2172.0,38.8917
334904727,3996.0,62.3667
363634378,3310.0,12.6333
366053237,3476.0,16.275
367132265,3797.0,55.1917
394385111,6581.0,61.8667
394385113,4775.0,63.2667
394385114#1,2606.0,68.825
394449801#0,3960.0,68.3917
395336990,3211.0,64.0667
395337004,3881.0,66.55
395343763,3410.0,13.4917
395354964#0,4735.0,66.475
395362577,2858.0,61.2167
395368981#0,7960.0,61.1542
395368986,6325.0,71.4583
395394468,5324.0,63.4611
395394473,6244.0,65.1667
395439802,2356.0,13.2083
395439805,4594.0,47.6875
42397233,2742.0,63.15
479773092#0,4211.0,66.3167
479773095,5770.0,28.8417
479773098,3864.0,27.925
479773099,3467.0,17.9333
5018717,2928.0,41.925
5018720,2848.0,40.0583
508060359,3779.0,49.075
508060361,2510.0,61.775
508060362,3212.0,64.1417
508115737#0,4752.0,66.6333
508115745,4811.0,63.7972
508115808,8600.0,44.85
508137802,7501.0,54.15
508479313#0,3017.0,59.1667
508479317,3801.0,55.8333
508479326,4141.0,45.9917
508479336,3763.0,36.1083
508479355,2654.0,68.8
508479365#0,5472.0,13.5417
508479370#0,5351.0,30.0333
508479370#1,6737.0,57.7417
509747240,4288.0,67.2667
509747302,4135.0,65.9917
509747346,4568.0,58.0
509747348,4913.0,41.8167
509747381,4545.0,46.05
509747406-AddedOffRampEdge,7140.0,44.0833
517168464,3905.0,54.125
52286756#1,5983.0,63.0917
544296216-AddedOffRampEdge,5687.0,31.6083
544296218#0,3291.0,67.1
544296218#1-AddedOnRampEdge,3675.0,67.6417
544296218#2,4377.0,67.3
544296221,3247.0,17.025
550271868,4492.0,31.8208
550284581,5705.0,66.3333
550284584-AddedOffRampEdge,6329.0,67.3917
550284598,3124.0,38.5083
550284602,2909.0,53.4417
552389451,4902.0,16.05
552603210,4369.0,25.25
56159747,3592.0,61.45
60759806,3678.0,62.575
617235585#0,6481.0,62.6917
617235594,5441.0,18.9417
617235603,2862.0,65.7167
617235606,2231.0,64.8958
617235612,5912.0,29.475
617259141,4576.0,63.0417
617259178,5343.0,46.8917
617284141,4583.0,66.0083
617284143,1514.0,62.4583
617284144#0,3813.0,60.4583
617284145#0-AddedOnRampEdge,3283.0,62.8667
617284164,4132.0,66.4417
617284166,5862.0,54.8583
617284173,4796.0,66.9917
617335302,5419.0,33.8083
619042916,6781.0,60.0833
619042919,4643.0,60.375
619042921,6240.0,63.4
687721970,3320.0,65.425
687721986,5429.0,29.125
699542380#1,3452.0,60.725
711834658,5355.0,62.6389
727202049,3879.0,66.4583
838046085,6258.0,32.4917
848429238,4002.0,51.325
848488831,3119.0,67.3083
848501101#0,4184.0,21.9417
848743564,4399.0,60.775
848745539#1,2642.0,59.9917
848748039,5063.0,36.2708
848754158,3611.0,30.975
848767838,2274.0,68.8583
848809833,3853.0,65.8333
848818561,4042.0,66.7458
848875024#0,5686.0,31.5083
848880058,3085.0,63.85
848920992#0,3724.0,61.7
849677308#0,5468.0,65.2083
849818316,1773.0,66.225
849821064,2875.0,63.5458
849833093,5686.0,31.5083
850026981,3358.0,68.8083
850032296,5148.0,43.8833
850057340#0,4171.0,62.8917
850097346,5656.0,29.2167
850098170,4383.0,66.3083
850134421,4251.0,27.8833
850376107,2233.0,68.5917
850378488,3287.0,21.675
850395062,3183.0,64.775
850615423,5393.0,27.3
850616213,5595.0,61.2417
850746591,1487.0,66.3375
850760258,3211.0,64.0667
851520671-AddedOffRampEdge,1473.0,64.5167
851541351,4308.0,34.35
851544880,4562.0,31.0708
851550873,4964.0,55.7306
851553864,5219.0,26.3917
851555734,4773.0,58.55
851556422,5644.0,57.6417
851560451,3806.0,23.6
851568240,3049.0,72.0
854162451,3769.0,26.9083
854215625,5000.0,64.4083
860646752-AddedOffRampEdge,4440.0,66.8333
861059531,4682.0,24.425
863751890,8909.0,63.1167
863754537,5664.0,59.6833
867203204,3952.0,10.3333
867204830-AddedOffRampEdge,6397.0,45.05
867208766,4031.0,65.8667
867246178,5017.0,51.4792
867247243,5291.0,31.6792
867251845#0,5102.0,33.2917
867256162#0,3706.0,62.725
867256162#3,2550.0,65.275
867256163,5537.0,59.2333
867259033,3139.0,64.3917
867262165#0,3793.0,26.0375
8954447,4857.0,25.1083
